age,workclass,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
65,Self-emp-not-inc,11th,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,20,United-States,<=50K
34,Federal-gov,HS-grad,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,60,United-States,>50K
38,Local-gov,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,2952,0,30,United-States,<=50K
49,Private,HS-grad,Married-civ-spouse,Other-service,Wife,White,Female,14860,0,30,United-States,>50K
35,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,United-States,>50K
44,Without-pay,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,59,United-States,<=50K
53,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,>50K
56,Private,11th,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,36,India,<=50K
33,Self-emp-not-inc,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,16,United-States,<=50K
60,Self-emp-not-inc,HS-grad,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
